Reference_GAVIA,ReferenceID,Reference_Full,
"{Browne, 1996 #127}",127,"Browne, A., O'Halloran, J., & Smiddy, P. (1996). All-Ireland survey of Canada geese Branta canadensis and grelag geese Anser anser, 1994. In J. S. Holmes & J. R. Simons (Eds.), The Introduction and Naturalisation of Birds. London: HMSO.",
"{Bryant, 1990 #538}",538,"Bryant, S., Reid, T., & Smith, S. J. (1990). Checklist of vertebrate animals in Tasmania. Tasmania: St Davis Park Publishing.",
"{Buckley, 2009 #682}",682,"Buckley, P. A., Massiah, E. B., Hutt, M. B., Buckley, F. G., & Hutt, H. F. (2009). The Birds of Barbados. Peterborough: British Ornithologists' Union.",
"{Buden, 1987 #736}",736,"Buden, D. W. (1987). The birds of Cat Island, Bahamas. The Wilson Bulletin, 99(4), 579-600. ",
"{Buden, 1992 #695}",695,"Buden, D. W. (1992). The birds of Long Island, Bahamas. The Wilson Bulletin, 104(2), 220-243. ",
"{Buden, 1992 #696}",696,"Buden, D. W. (1992). The birds of the Exumas, Bahama Islands. The Wilson Bulletin, 104(4), 674-698. ",
"{Buijs, 2001 #450}",450,"Buijs, J. A., & van Wijnen, J. H. (2001). Survey of feral rock doves (Columba livia) in Amsterdam, a bird-human association. Urban Ecosystems, 5, 235-241. ",
"{Bull, 1973 #357}",357,"Bull, J. (1973). Exotic Birds in the New York City Area. The Wilson Bulletin, 85(4), 501-505. ",
"{Butler, 2002 #462}",462,"Butler, C., Hazlehurst, G., & Butler, K. (2002). First nesting by Blue-crowned Parakeet in Britain. British Birds, 95, 17-20. ",
"{Butler, 2002 #463}",463,"Butler, C. (2002). Breeding parrots in Britain. British Birds, 95, 345-348. ",
"{Butler, 2005 #192}",192,"Butler, C. J. (2005). Feral parrots in the continental United States and United Kingdom: Past, present, and future. Journal of Avian Medicine and Surgery, 19(2), 142-149. ",
"{Byers, 1995 #252}",252,"Byers, C., Olsson, U., & Curson, J. (1995). Buntings and sparrows: a guide to the buntings and North American sparrows. Sussex: Pica Press.",
"{Cabral, 2002 #851}",851,"Cabral, M., Colvin, C., Fanchiang, E., Foster-Mann, N., & Sudan, M. (2002). Distribution of native and introduced bird species in the UC Berkeley Botanic Garden: GIS analysis of habitat preferences.",
"{Calder, 1953 #476}",476,"Calder, D. (1953). The Distribution of the Indian Myna. Bokmakierie, 5, 4-6. ",
"{Callaghan, 1996 #62}",62,"Callaghan, D. (1996). The release of waterfowl for hunting and the implications for biodiversity and sustainability. In J. S. Holmes & J. R. Simons (Eds.), The Introduction and Naturalisation of Birds (pp. 37-48). London: HMSO.",
"{Carlozzi, 1968 #429}",429,"Carlozzi, C. A., & Carlozzi, A. A. (1968). Conservation and Caribbean Regional Progress. U. S. Virgin Islands: The Antioch Press.",
"{Carr, 1980 #173}",173,"Carr, G. S. (1980). Historic and prehistoric avian records from Easter Island. Pacific Science, 34(1), 19-20. ",
"{Carrete, 2008 #128}",128,"Carrete, M., & Tella, J. L. (2008). Wild-bird trade and exotic invasions: a new link of conservation concern? Frontiers in Ecology and the Environment, 6, 207-211. ",
"{Carswell, 2005 #643}",643,"Carswell, M. (2005). The Bird Atlas of Uganda. Oxford: British Ornithologist's Union.",
"{Cassey, 2001 #539}",539,"Cassey, P. (2001). Comparative analysis of successful establishment among introduced land birds. Doctor of Philosophy, Griffith University.   ",
"{Castelletta, 2000 #154}",154,"Castelletta, M., Sodhi, N. S., & Subaraj, R. (2000). Heavy extinctions of forest avifauna in Singapore: Lessons for biodiversity conservation in southeast Asia. Conservation Biology, 14(6), 1870-1880. ",
"{Caum, 1933 #592}",592,"Caum, E. L. (1933). The Exotic Birds of Hawaii. Bernice P. Bishop Museum - Occasional Papers, 10(9), 1-55. ",
"{Chan, 2006 #938}",938,"Chan, S. W. (2006). Religious release of birds in Hong Kong. Master of Philosophy, The University of Hong Kong.   ",
"{Chao, 2010 #904}",904,"Chao, J. T. (2010). Invasive Birds in Taiwan: Taiwan Forestry Research Institute.",
"{Cheke, 2008 #381}",381,"Cheke, A., & Hume, J. (2008). Lost Land of the Dodo. London: T & AD Poyser.",
"{Chimera, 2010 #540}",540,"Chimera, C. G., & Drake, D. R. (2010). Patterns of seed dispersal and dispersal failure in a Hawaiian dry forest having only introduced birds. BIOTROPICA 42(4), 493-502. ",
"{Chisholm, 1950 #599}",599,"Chisholm, A. H. (1950). Birds introduced into Australia. Emu, 50, 97-100. ",
"{Clancy, 1976 #747}",747,"Clancy, P. A. (1976). Rose-ringed parakeet in Natal and Zululand. Albatross, 241, 5. ",
"{Clapp, 1990 #541}",541,"Clapp, R. B. (1990). Notes on the birds of Kwajalen Atoll, Marshall Islands Atoll Research Bulletin. Washington, D.C.: National Museum of Natural History Smithsonian Institution.",
"{Clarke, 2006 #478}",478,"Clarke, T. (2006). Birds of the Atlantic Islands. London: Christopher Helm.",
"{Clement, 1993 #206}",206,"Clement, P., Harris, A., & Davis, J. (1993). Finches and sparrows: an identification guide. London: Christopher Helm; A & C Black.",
"{Clements, 2001 #290}",290,"Clements, J. F., & Shany, N. (2001). A field guide to the birds of Peru. Barcelona: Lynx Edicions.",
"{Clergeau, 2001 #68}",68,"Clergeau, P., & Mandon-Dalger, I. (2001). Fast Colonization of an Introduced Bird: The Case of Pycnonotus jocosus on the Mascarene Islands. Biotropica, 33(3), 542-546. ",
"{Clergeau, 2004 #431}",431,"Clergeau, P., Levesque, A., & Lorvelec, O. (2004). The precautionary principle and biological invasion: the case of the House Sparrow on the Lesser Antilles. International Journal of Pest Management, 50(2), 83-89. ",
"{Clergeau, 2006 #193}",193,"Clergeau, P., & Yesou, P. (2006). Behavioural flexibility and numerous potential sources of introduction for the sacred ibis: causes of concern in western Europe? Biological Invasions, 8, 1381-1388. ",
"{Clergeau, 2010 #760}",760,"Clergeau, P., Fourcy, D., Reeber, S., & Yesou, P. (2010). New but nice? Do alien sacred ibises Threskiornis aethiopicus stabilize nesting colonies of native spoonbills Platalea leucorodia at Grand-Lieu Lake, France? Oryx, 44(4), 533-538. ",
"{Clunie, 1999 #600}",600,"Clunie, F. (1999). Birds of the Fiji bush (2nd ed.). Suva: Fiji Museum.",
"{Coates, 1997 #295}",295,"Coates, B. J., & Bishop, K. D. (1997). A guide to the birds of Wallacea: Sulawesi, the Moluccas and Lesser Sunda Islands, Indonesia. Alderley, Queenland: Dove Publications.",
"{Cole, 1995 #542}",542,"Cole, F. R., Loope, L. L., A.C., M., Raikes, J. A., & Wood, C. S. (1995). Implications of introduced game birds in the high-elevation Hawaiian shrubland Conservation Biology, 9(2), 306-313. ",
"{Collins, 1997 #140}",140,"Collins, C. T., & Kares, L. M. (1997). Seasonal flock sizes of naturalized mitred parakeets (Aratinga mitrata) in Long Beach, California. Western Birds, 28, 218-222. ",
"{Committee, 2009 #755}",755,"Committee, B. B. N. R. (2009). List of the birds recorded in Bulgaria. Acta Zoologica Bulgarica, 61(1), 3-26. ",
"{Conabio, 2007 #331}",331,"Conabio. (2007). Especies Invasoras - Aves, from http://www.conabio.gob.mx/conocimiento/info_especies/especies_invasoras/doctos/aves.html",
